fullname,name,color
a,2,#a6cee3
b,6,#1f78b4
c,18,#b2df8a
d,19,#33a02c
e,20,#fb9a99
f,21,#e31a1c
g,22,#fdbf6f
h,37,#ff7f00
i,39,#cab2d6
j,40,#6a3d9a
k,42,#ffff99
